frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    314560    84687
471.0    325677    95574
471.2    303096    84434
471.4    310408    92311
471.6    320076    94103
471.8    348802    99896
472.0    357017    110656
472.2    285057    83703
472.4    285161    72960
472.6    287458    79740
472.8    257625    73515
473.0    246720    71012
473.2    237249    64312
473.4    236031    63228
473.6    204675    52743
473.8    187585    56045
474.0    296832    76249
474.2    297436    78399
474.4    306977    82335
474.6    312794    96348
474.8    289697    85300
475.0    318096    91595
475.2    319855    83733
475.4    306240    90105
475.6    313656    86446
475.8    308513    84497
476.0    289555    81721
476.2    349294    99691
476.4    280707    69646
476.6    293284    82897
476.8    300718    78954
