frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    125817    42203
472.2    118740    43613
472.4    123391    45294
472.6    121382    45370
472.8    111552    41568
473.0    118418    42982
473.2    101267    36352
473.4    72696    24312
473.6    81345    29137
473.8    83832    28852
474.0    107822    40931
474.2    100980    33052
474.4    92053    30969
474.6    74539    25546
474.8    84880    35300
475.0    64340    18278
475.2    64576    25933
475.4    73014    23524
475.6    83692    25023
475.8    82551    34234
476.0    92815    30766
476.2    94272    32879
476.4    66112    20590
476.6    83750    30483
476.8    109282    35364
477.0    79314    29310
