wl(nm)    mean_lt(s)    mle_lt(s)    CI_low[lt]    CI_high[lt]    int(W/m2)    int_er    label    file
530    1566.7076261226803    1092.8999999999999    875.6999999999999    2330.1    1452522.964816294    273665.23623868375    530 p12000 1 230803    2023_08_10_10h_28m_50s_dissociation_measurement
500    90.56578947368284    81.89999999999999    70.19999999999999    110.39999999999999    1246128.4833273655    210383.19468697894    500 p12000 1 230803    2023_08_11_10h_41m_37s_dissociation_measurement
510    66.83428571428506    60.89999999999999    52.49999999999999    80.69999999999999    1439178.0912348302    264887.4444393741    510 p12000 1 230814    2023_08_14_11h_36m_53s_dissociation_measurement
520    127.99187499999795    113.69999999999999    96.89999999999999    158.4    1307098.7430269648    227479.1581705128    520 p12000 1 230816    2023_08_16_10h_59m_25s_dissociation_measurement
525    172.15333333332708    151.8    129.3    214.20000000000002    1374755.3732299136    247159.85018019212    525 p12000 1 230818    2023_08_18_11h_15m_57s_dissociation_measurement
535    592.6324666257511    424.5    354.9    818.0999999999999    1376110.6649158234    246833.92833508598    535 p12000 1 230821    2023_08_21_12h_09m_33s_dissociation_measurement
540    1114.5794387151725    676.4999999999999    572.4    1705.8    1330287.9078538103    241156.31763860435    540 p12000 1 230822    2023_08_22_00h_00m_00s_dissociation_measurement
