frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    422262    95068
471.0    424180    98312
471.2    409856    93950
471.4    385893    101610
471.6    389054    90437
471.8    411598    103706
472.0    405763    84516
472.2    401303    89330
472.4    359377    78355
472.6    365316    83636
472.8    370525    99849
473.0    325155    75253
473.2    343548    89913
473.4    292000    61413
473.6    298566    65008
473.8    241394    46343
474.0    352246    81366
474.2    370833    85912
474.4    373166    90693
474.6    395207    109582
474.8    342710    75333
475.0    398509    90679
475.2    406678    100711
475.4    403840    90823
475.6    378626    97963
475.8    431426    110809
476.0    385754    99233
476.2    398158    89390
476.4    395027    80265
476.6    393936    96903
476.8    382766    78958
