frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    424868    98788
471.0    403814    82691
471.2    434017    113856
471.4    436523    120646
471.6    419401    96353
471.8    428935    108182
472.0    401439    82171
472.2    426546    98056
472.4    443467    113401
472.6    400145    85762
472.8    369708    95388
473.0    346830    78124
473.2    360874    91067
473.4    409546    96008
473.6    372473    98430
473.8    349695    72382
474.0    375218    91668
474.2    417624    101239
474.4    439439    115667
474.6    419889    102608
474.8    426845    116642
475.0    441503    107398
475.2    392919    79975
475.4    457794    100110
475.6    457435    112064
475.8    417281    97555
476.0    423376    91611
476.2    407746    81934
476.4    418553    84921
476.6    406663    83963
476.8    369656    72929
