frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.5    277929    99786
523.6    281328    96040
523.7    252063    91116
523.8    287676    93723
523.9    269791    92372
524.0    279747    100135
524.1    255978    88807
524.2    284689    97484
524.3    266163    91225
524.4    280096    94626
524.5    259138    86786
524.6    255884    84615
524.7    276754    101414
524.8    252844    92299
524.9    222773    78792
525.0    271943    100072
525.1    274849    89779
525.2    216214    80731
525.3    240611    77264
525.4    253168    83018
525.5    233885    77919
525.6    226089    71853
525.7    229825    82264
525.8    271249    96650
525.9    213147    78477
526.0    222872    81756
526.1    250892    78895
526.2    197024    63232
526.3    191861    75474
526.4    293676    99201
526.5    102730    35957
526.6    100472    31679
526.7    255865    95988
526.8    92254    36530
526.9    82504    29214
527.0    171294    63267
527.1    142672    50271
527.2    172356    55961
527.3    211138    78646
527.4    267650    87398
527.5    208893    71111
527.6    232002    85138
527.7    227577    79764
527.8    297042    108102
527.9    227632    78101
528.0    240324    75272
528.1    219925    71827
528.2    269943    101619
528.3    270621    93422
528.4    238780    81305
528.5    255671    84298
528.6    260713    84719
528.7    224977    80617
528.8    260936    101630
528.9    252032    82634
529.0    273336    87638
529.1    232995    83229
529.2    259176    98920
529.3    272929    99112
529.4    275739    98529
529.5    260801    91430
