frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    235158    67739
473.5    208073    53137
473.7    236599    62122
473.9    233916    65238
474.1    193252    46766
474.3    205399    54957
474.5    191810    47923
474.7    186424    46599
474.9    184042    35731
475.1    117079    26322
475.3    197508    47496
475.5    219737    61753
475.7    197873    51795
475.9    193604    57150
476.1    226271    66659
476.3    222800    58280
476.5    275989    78756
476.7    260944    77127
476.9    281488    89809
477.1    258846    75222
477.3    279332    77529
