frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    436022    95341
471.0    458334    102040
471.2    421143    88192
471.4    440161    110277
471.6    440279    106919
471.8    388030    83089
472.0    428570    107374
472.2    255173    54591
472.4    469685    123701
472.6    443167    103991
472.8    370520    92678
473.0    386784    87947
473.2    336797    80632
473.4    325213    74975
473.6    373482    78432
473.8    375347    87454
474.0    390007    87205
474.2    356003    96393
474.4    461558    112021
474.6    391610    101554
474.8    401961    79348
475.0    442824    99708
475.2    85688    12473
475.4    415158    99403
475.6    390637    101817
475.8    379685    89740
476.0    393434    99894
476.2    376154    82719
476.4    400755    94961
476.6    409363    92641
476.8    409338    94972
