frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    225959    69037
473.5    209344    67671
473.7    221298    62603
473.9    176917    49990
474.1    198195    50764
474.3    192546    50611
474.5    191794    56753
474.7    164497    43293
474.9    124795    29752
475.1    135653    30695
475.3    198462    49870
475.5    215789    60126
475.7    186205    47830
475.9    204144    58202
476.1    202711    49747
476.3    214377    64967
476.5    220704    64307
476.7    229816    63529
476.9    225332    59294
477.1    223198    64806
477.3    210121    53341
