frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    670128    168121
522.5    654156    178463
523.0    655912    172730
523.5    621279    169632
524.0    676271    181622
524.5    655952    180722
525.0    723711    204134
525.5    706024    183690
526.0    720770    199402
526.5    728947    197255
527.0    514142    130533
527.5    725113    196584
528.0    680960    178899
528.5    715522    199949
529.0    719454    202957
529.5    652026    164812
530.0    666199    188392
530.5    642325    173908
531.0    638394    172128
531.5    663402    198674
532.0    633731    165235
