frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    607562    159348
522.5    675784    190576
523.0    686072    184358
523.5    691118    182611
524.0    690329    181072
524.5    738807    215261
525.0    708185    204685
525.5    712431    194648
526.0    761270    200285
526.5    738097    202120
527.0    432106    114130
527.5    739931    201936
528.0    663286    173387
528.5    663864    181399
529.0    667203    183383
529.5    655092    171892
530.0    601833    157602
530.5    634466    172959
531.0    584094    156363
531.5    619420    156791
532.0    633693    170890
