frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    453547    103812
471.0    466686    108527
471.2    416214    97804
471.4    412116    98699
471.6    434283    108384
471.8    448078    101767
472.0    443216    108866
472.2    444568    103455
472.4    431812    102365
472.6    449832    103231
472.8    382162    89281
473.0    398035    80942
473.2    401768    85064
473.4    387364    106672
473.6    304060    72684
473.8    362943    70581
474.0    387315    89242
474.2    354306    84585
474.4    389524    89310
474.6    426637    115021
474.8    453696    110254
475.0    463278    113735
475.2    437414    106102
475.4    430532    101677
475.6    426202    96942
475.8    418937    96845
476.0    430685    95106
476.2    404476    88658
476.4    420602    90405
476.6    437022    95118
476.8    423511    87681
