frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    91622    29594
522.5    130861    39094
523.0    100306    29023
523.5    107580    40709
524.0    96912    32880
524.5    97873    28877
525.0    76574    24311
525.5    66475    18525
526.0    56107    17678
526.5    40963    9928
527.0    31286    11182
527.5    49049    11510
528.0    61622    16928
528.5    72571    24663
529.0    87244    25421
529.5    92419    26023
530.0    97451    28460
530.5    117720    34211
531.0    89986    29086
531.5    99618    29949
532.0    121366    38424
