frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523    556177    166565
523.5    592543    212531
524.0    601694    187827
524.5    574906    181468
525.0    591499    188127
525.5    574839    191142
526.0    589030    199705
526.5    555424    188330
527.0    308898    102159
527.5    604443    208196
528.0    612548    188443
528.5    619811    205235
529.0    578070    198518
529.5    610784    188453
530.0    569855    176978
530.5    563922    175034
531.0    572546    183120
531.5    595088    195397
532.0    549656    176224
532.5    534588    164095
533.0    551548    174503
