frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524.8    440355    131720
525.0    427970    124833
525.2    405737    120558
525.4    400017    112484
525.6    374832    100160
525.8    324602    88304
526.0    298415    84836
526.2    223230    56448
526.4    145548    32179
526.6    101837    21129
526.8    106510    23003
527.0    107807    26984
527.2    103732    20501
527.4    350970    97022
527.6    382104    114234
527.8    412406    107370
528.0    428541    117403
528.2    419522    121536
528.4    407428    122432
528.6    423352    127088
528.8    410139    113431
