frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    233719    64393
473.5    232689    62342
473.7    208770    65558
473.9    216239    63963
474.1    216152    53605
474.3    179057    51616
474.5    163064    36260
474.7    164249    45651
474.9    132312    29258
475.1    118926    31962
475.3    207508    62376
475.5    225490    54524
475.7    212223    60629
475.9    210842    67871
476.1    210442    60785
476.3    259600    72747
476.5    242506    72752
476.7    258157    81089
476.9    230971    76475
477.1    214519    62462
477.3    232377    56859
