frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    137479    37529
472.2    134493    39312
472.4    109706    34318
472.6    110466    33274
472.8    103441    28606
473.0    106200    31022
473.2    95412    26034
473.4    110274    27614
473.6    96033    27265
473.8    91488    21028
474.0    97621    28526
474.2    107752    25474
474.4    99732    26535
474.6    116256    29905
474.8    105183    23991
475.0    96722    24635
475.2    90914    24806
475.4    90405    23217
475.6    113062    26838
475.8    103557    25234
476.0    98410    26479
476.2    115528    32691
476.4    120353    32399
476.6    100675    26876
476.8    89057    21725
477.0    94768    21865
