frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    207969    65545
473.5    221394    62252
473.7    223050    63979
473.9    213567    57149
474.1    192041    63375
474.3    191888    50215
474.5    175600    44537
474.7    147946    39891
474.9    125306    35641
475.1    130209    35468
475.3    205562    55310
475.5    186308    46259
475.7    202977    53679
475.9    204289    62192
476.1    191911    49524
476.3    206614    64160
476.5    204159    55906
476.7    203499    65343
476.9    243290    73010
477.1    210665    64463
477.3    230535    65338
