frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    127344    39625
522.5    128870    43127
523.0    107754    33286
523.5    107799    35433
524.0    107427    36809
524.5    99100    27379
525.0    84418    24470
525.5    67598    19394
526.0    56831    15251
526.5    29733    9631
527.0    38190    9224
527.5    52715    13672
528.0    59104    15273
528.5    81644    27420
529.0    100199    27749
529.5    107751    29009
530.0    118663    33377
530.5    116961    32928
531.0    119083    34105
531.5    121608    40050
532.0    120824    37638
