frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523    594203    148437
523.5    623425    182008
524.0    640016    169625
524.5    679620    184236
525.0    681729    179349
525.5    703295    197046
526.0    706446    197602
526.5    717323    190383
527.0    471317    117443
527.5    733893    201075
528.0    672724    176566
528.5    652097    181626
529.0    626941    174050
529.5    636204    157735
530.0    632669    179899
530.5    664364    183049
531.0    650547    172075
531.5    620770    184347
532.0    656108    184661
532.5    619318    191943
533.0    655743    171126
