frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522.8    439146    129701
523.1    454264    145956
523.4    436672    121075
523.7    405131    119817
524.0    445320    136079
524.3    442415    127593
524.6    381869    101326
524.9    319006    94080
525.2    341919    112749
525.5    321831    102736
525.8    369087    98558
526.1    406185    117845
526.4    418326    123653
526.7    416545    124728
527.0    455871    134620
527.3    454344    138885
527.6    450070    131634
527.9    455670    115158
528.2    461722    137485
528.5    467916    129657
528.8    433351    128743
