frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    477462    147918
522.5    456909    162159
523.0    480277    158265
523.5    506040    167634
524.0    520583    158264
524.5    529927    176118
525.0    504613    176988
525.5    565175    172578
526.0    550832    187738
526.5    532457    188152
527.0    381456    126690
527.5    530087    170942
528.0    595625    193111
528.5    512658    169802
529.0    527038    170328
529.5    496957    160251
530.0    538707    173149
530.5    527150    180405
531.0    506306    165105
531.5    549932    178692
532.0    480769    174311
