frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    135865    41556
472.2    160832    45665
472.4    111594    31225
472.6    111722    29486
472.8    116143    32205
473.0    112175    31478
473.2    138554    43752
473.4    144763    38156
473.6    156860    47450
473.8    143462    33692
474.0    118834    32860
474.2    141189    39634
474.4    118720    31488
474.6    108711    30791
474.8    108084    32441
475.0    95946    20437
475.2    97681    28397
475.4    113479    32087
475.6    42915    8788
475.8    76710    18480
476.0    131082    35565
476.2    110196    28824
476.4    112634    32175
476.6    123522    27892
476.8    120240    29552
477.0    108848    31139
