frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    252744    78339
473.5    188554    54068
473.7    216008    64701
473.9    207419    59165
474.1    200525    50252
474.3    184860    49628
474.5    199775    54077
474.7    183716    48558
474.9    171362    40795
475.1    142656    38745
475.3    165797    45587
475.5    198554    47205
475.7    215668    58225
475.9    203616    53445
476.1    222630    65510
476.3    241126    68946
476.5    288130    81705
476.7    245473    82791
476.9    292375    81731
477.1    270662    73211
477.3    276142    91041
