frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    224274    60897
473.5    218564    59543
473.7    181603    53237
473.9    198284    53619
474.1    204478    53467
474.3    208111    55200
474.5    226174    62021
474.7    180288    51393
474.9    179968    47474
475.1    186402    41209
475.3    216639    47998
475.5    230752    62136
475.7    220963    53874
475.9    204591    53393
476.1    214154    67399
476.3    212137    60576
476.5    222324    59928
476.7    249856    70649
476.9    243219    60461
477.1    222931    65696
477.3    267824    99071
