frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524    104882    33792
524.2    97468    26133
524.4    75042    24703
524.6    85587    24968
524.8    70643    23660
525.0    89180    28667
525.2    80028    24010
525.4    64419    15755
525.6    54005    14290
525.8    60553    20820
526.0    53992    15187
526.2    25700    6627
526.4    34243    7644
526.6    28364    6253
526.8    23337    4570
527.0    39424    12401
527.2    55575    12961
527.4    57154    14484
527.6    66192    20246
527.8    77559    22931
528.0    69779    20217
528.2    95003    33158
528.4    86416    27610
528.6    79461    21853
528.8    80786    22926
529.0    114199    37952
529.2    114765    34407
529.4    103491    32197
529.6    111851    30481
529.8    128856    37781
530.0    125841    41009
