frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    344107    103634
471.0    321652    90961
471.2    325560    77775
471.4    351549    95601
471.6    335752    98190
471.8    317466    89780
472.0    318352    93141
472.2    315032    89835
472.4    296972    76974
472.6    270387    70205
472.8    307776    75787
473.0    321490    98938
473.2    287094    89460
473.4    288461    90578
473.6    289750    89339
473.8    346835    79766
474.0    338248    91311
474.2    344638    103697
474.4    330354    100433
474.6    310520    92683
474.8    317066    74934
475.0    340990    95455
475.2    332693    94871
475.4    329940    85065
475.6    341194    81241
475.8    353664    91948
476.0    325720    81564
476.2    358071    92921
476.4    338907    100930
476.6    359747    96454
476.8    314069    80212
