frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    116473    29613
472.2    118843    32228
472.4    129281    30766
472.6    135498    40265
472.8    119147    28622
473.0    112084    29925
473.2    98499    27852
473.4    108141    29696
473.6    94709    26400
473.8    99228    22519
474.0    96675    26931
474.2    102060    26909
474.4    97532    24229
474.6    100780    26367
474.8    107644    31385
475.0    98385    24914
475.2    82915    20058
475.4    87621    24175
475.6    104126    24193
475.8    97323    23875
476.0    108339    26763
476.2    98870    25081
476.4    96768    23602
476.6    106296    26916
476.8    104133    29921
477.0    116165    32494
