frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    625931    171636
521.5    624313    158131
522.0    683864    199958
522.5    646246    188691
523.0    660762    186711
523.5    654790    179693
524.0    654126    172258
524.5    685028    192201
525.0    716706    187265
525.5    693787    181563
526.0    610086    156422
526.5    413932    118402
527.0    439151    119287
527.5    629677    167139
528.0    627207    176537
528.5    680085    190813
529.0    620725    178183
529.5    633839    169718
530.0    620819    175926
530.5    644224    185888
531.0    631556    186074
