frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    166554    66366
473.5    154642    51551
473.7    151125    54045
473.9    130121    55466
474.1    135418    47285
474.3    124604    42755
474.5    101792    32562
474.7    131526    38369
474.9    104197    31226
475.1    96802    35001
475.3    96190    29786
475.5    128610    41916
475.7    136540    43476
475.9    152230    50745
476.1    140383    53720
476.3    163787    52258
476.5    153697    52416
476.7    151709    55988
476.9    146391    45171
477.1    164165    64786
477.3    177003    56244
