frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    286377.99999999994    76001.33333333333
471.0    284374.6666666667    78273.0
471.2    296871.6666666666    82018.66666666667
471.4    286669.0    74730.0
471.6    271807.6666666667    74213.66666666666
471.8    237565.66666666666    66910.66666666667
472.0    283245.3333333334    75610.99999999999
472.2    309086.33333333326    80876.66666666667
472.4    305247.00000000006    82908.33333333333
472.6    270635.3333333333    71909.66666666667
472.8    276196.6666666667    73367.33333333331
473.0    283837.6666666667    76017.99999999999
473.2    239050.33333333334    66152.66666666667
473.4    253719.0    70754.99999999999
473.6    245988.66666666666    62133.666666666664
473.8    229445.0    59636.33333333333
474.0    193148.33333333334    47690.00000000001
474.2    246362.33333333334    63426.66666666667
474.4    247545.33333333334    69943.66666666667
474.6    318602.0    92927.66666666664
474.8    311538.66666666674    84601.99999999999
475.0    306845.33333333326    87791.66666666667
475.2    281591.0    76806.33333333333
475.4    288275.3333333333    81230.66666666667
475.6    302663.0    82798.33333333334
475.8    279484.0    78963.0
476.0    287301.99999999994    77795.0
476.2    292594.6666666667    78261.66666666667
476.4    308085.3333333333    83493.33333333331
476.6    315870.99999999994    83872.66666666669
476.8    329106.6666666666    81824.66666666667
