frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524.8    323304    94509
525.0    350765    98531
525.2    309954    87219
525.4    319189    92203
525.6    312160    92260
525.8    282004    81970
526.0    285489    87589
526.2    237717    57294
526.4    193672    46992
526.6    106772    23512
526.8    85825    17477
527.0    87601    18207
527.2    256289    78513
527.4    281736    83281
527.6    293242    92958
527.8    313673    89192
528.0    280683    83526
528.2    319309    102237
528.4    318000    91582
528.6    343103    101903
528.8    326441    88886
