frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524    60965    24791
524.2    40454    11441
524.4    36945    14227
524.6    44599    14575
524.8    37263    13270
525.0    31278    10877
525.2    39652    13713
525.4    29256    9145
525.6    29401    12067
525.8    24413    8799
526.0    19512    7052
526.2    12595    4176
526.4    9334    3269
526.6    12196    4844
526.8    9548    2912
527.0    14152    5139
527.2    23245    9638
527.4    24794    7889
527.6    27786    9945
527.8    35012    11314
528.0    33386    16746
528.2    39534    16598
528.4    43950    19280
528.6    34533    13041
528.8    41026    12011
529.0    53606    22818
529.2    57430    25359
529.4    51156    20078
529.6    56816    15892
529.8    61026    18040
530.0    56812    22709
