frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    515118    161454
521.5    508533    157062
522.0    485797    159046
522.5    514882    196347
523.0    497279    150846
523.5    537467    170046
524.0    516085    166927
524.5    525907    164580
525.0    559200    179528
525.5    544815    184029
526.0    442741    139369
526.5    229485    71136
527.0    493762    158322
527.5    560285    171920
528.0    525244    171091
528.5    567873    174513
529.0    556390    175684
529.5    532587    185469
530.0    546367    184136
530.5    498326    160919
531.0    522661    171036
