frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    313638    87659
471.0    320375    86324
471.2    325466    84890
471.4    321344    91750
471.6    337084    93560
471.8    324959    96897
472.0    265438    81267
472.2    299822    95753
472.4    254674    67375
472.6    307284    92401
472.8    314836    79653
473.0    278002    84931
473.2    259764    70305
473.4    266055    76303
473.6    225619    59244
473.8    201608    55878
474.0    187860    46075
474.2    294216    78214
474.4    286065    75678
474.6    310509    87868
474.8    334444    93135
475.0    333167    92223
475.2    355598    100107
475.4    344648    91918
475.6    335758    92052
475.8    335351    95380
476.0    311613    85039
476.2    346476    100266
476.4    321422    91870
476.6    327257    84491
476.8    337622    109689
