frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    166957    63550
473.5    162706    63104
473.7    164134    55810
473.9    143467    55771
474.1    164094    57477
474.3    37663    11450
474.5    136612    40152
474.7    119454    37910
474.9    118845    38002
475.1    125766    42958
475.3    147149    47940
475.5    128737    40752
475.7    156223    51131
475.9    138245    58660
476.1    147461    52523
476.3    156631    57191
476.5    149488    46698
476.7    143659    47788
476.9    156273    52029
477.1    163999    58548
477.3    159208    49837
