frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    328069.3333333332    88689.66666666669
471.0    303372.6666666667    83584.33333333334
471.2    309726.6666666667    82681.00000000001
471.4    332784.00000000006    88319.33333333331
471.6    322126.66666666674    92686.0
471.8    329704.6666666666    89363.00000000001
472.0    319409.66666666674    87062.33333333333
472.2    288755.0    81951.0
472.4    266373.3333333334    77278.33333333333
472.6    261680.66666666666    72365.33333333333
472.8    264677.0    73093.33333333333
473.0    280778.3333333333    74265.33333333334
473.2    277569.3333333334    68080.0
473.4    267709.33333333326    73137.66666666666
473.6    241872.6666666667    59836.333333333336
473.8    227147.3333333333    58670.0
474.0    275256.99999999994    68876.33333333333
474.2    293617.6666666666    76205.0
474.4    307821.3333333334    82474.66666666664
474.6    294087.6666666666    77784.33333333333
474.8    314676.33333333343    96236.33333333333
475.0    309036.6666666667    85481.66666666666
475.2    309846.33333333326    81590.0
475.4    312928.66666666674    85200.33333333334
475.6    308554.0    84633.33333333331
475.8    342316.00000000006    93447.0
476.0    314113.99999999994    84498.66666666666
476.2    294583.6666666666    84096.66666666666
476.4    314392.00000000006    81871.99999999999
476.6    301183.0    79358.00000000001
476.8    300994.0    81267.0
