frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    178523    56567
473.5    161830    50762
473.7    181466    58384
473.9    172842    65363
474.1    175516    62635
474.3    150594    52076
474.5    126928    43521
474.7    107082    36294
474.9    114394    38870
475.1    121867    42111
475.3    148602    54239
475.5    155046    47534
475.7    164019    59450
475.9    163856    52844
476.1    170827    58322
476.3    167066    54517
476.5    179941    55686
476.7    176686    54854
476.9    172992    59940
477.1    194770    66055
477.3    170886    59614
