frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    233999    60480
473.5    246333    74261
473.7    210908    50501
473.9    180437    52199
474.1    202838    49875
474.3    203353    53859
474.5    193968    53833
474.7    188938    48187
474.9    177413    48081
475.1    156068    39629
475.3    143704    35139
475.5    225658    70329
475.7    205726    54835
475.9    206255    48930
476.1    214407    56668
476.3    207470    55567
476.5    201495    64297
476.7    214467    67878
476.9    266153    72047
477.1    261246    67357
477.3    238881    61507
