frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    424612    90101
471.0    411448    99148
471.2    417952    100900
471.4    438328    108238
471.6    439376    97233
471.8    415512    91184
472.0    437372    110323
472.2    406932    86497
472.4    414246    98749
472.6    433643    113826
472.8    370182    96288
473.0    327691    69949
473.2    341905    78990
473.4    319229    72777
473.6    324830    73452
473.8    313230    65457
474.0    333988    84709
474.2    376098    95081
474.4    372477    83988
474.6    402893    97518
474.8    404809    94731
475.0    419282    94075
475.2    404958    93879
475.4    382296    89211
475.6    354484    87594
475.8    390975    85492
476.0    395167    93416
476.2    405024    98371
476.4    403249    86016
476.6    378334    86236
476.8    403337    88757
