frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    416025    97925
471.0    441445    104274
471.2    447059    103491
471.4    442998    103116
471.6    417847    98236
471.8    432748    108547
472.0    413370    95598
472.2    427051    118598
472.4    384909    94876
472.6    389656    88720
472.8    361178    94289
473.0    324310    73680
473.2    341023    85765
473.4    297074    65382
473.6    312727    72973
473.8    280957    58393
474.0    343504    74511
474.2    338730    75325
474.4    397038    96622
474.6    369358    82222
474.8    386077    95504
475.0    401487    95443
475.2    391650    99701
475.4    366931    89104
475.6    373302    89591
475.8    374177    94229
476.0    392071    92610
476.2    351067    78697
476.4    378310    92347
476.6    399886    89046
476.8    366799    82488
