frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522.8    459322    141144
523.1    469704    164680
523.4    460752    156012
523.7    478047    132270
524.0    413610    123341
524.3    406662    118842
524.6    415901    119508
524.9    363230    95630
525.2    363388    99098
525.5    331646    82695
525.8    451399    127730
526.1    409884    131748
526.4    442864    124510
526.7    448090    132412
527.0    499618    145454
527.3    477861    145152
527.6    471253    141171
527.9    461311    123661
528.2    485054    144385
528.5    477652    134541
528.8    478624    139318
