frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    584942    158840
522.5    607833    157111
523.0    621960    167358
523.5    570826    156635
524.0    592461    151728
524.5    617742    158364
525.0    621857    167414
525.5    577975    163221
526.0    621604    162229
526.5    680370    170952
527.0    403366    108734
527.5    614696    170375
528.0    614979    177769
528.5    523495    141608
529.0    589552    150537
529.5    546412    150128
530.0    525492    139162
530.5    584783    163023
531.0    565897    151393
531.5    552417    139909
532.0    584348    166252
