frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522.8    447190    126034
523.1    432917    140739
523.4    381239    109269
523.7    413038    115965
524.0    382586    123276
524.3    437095    137124
524.6    404837    123410
524.9    429656    122787
525.2    424244    120949
525.5    286884    80744
525.8    337011    83161
526.1    329014    91457
526.4    381371    114298
526.7    406352    117585
527.0    382626    112476
527.3    385441    118506
527.6    421119    130997
527.9    418625    115560
528.2    397459    121123
528.5    386347    110959
528.8    416426    125588
