frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    474350    157909
521.5    493239    157523
522.0    477885    159056
522.5    457755    141659
523.0    461463    157460
523.5    494271    161424
524.0    457344    141040
524.5    490537    163890
525.0    458762    147705
525.5    438050    141434
526.0    414249    135079
526.5    213566    70713
527.0    370378    116486
527.5    377630    125125
528.0    439160    138839
528.5    450628    142801
529.0    458542    135989
529.5    444837    140259
530.0    440498    142705
530.5    416847    123171
531.0    458626    146589
