frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524.8    320887    84269
525.0    315891    90128
525.2    327201    98878
525.4    295969    84355
525.6    314644    98442
525.8    278042    85358
526.0    288489    85715
526.2    265946    79956
526.4    181081    46488
526.6    120360    23993
526.8    81365    14761
527.0    103463    24551
527.2    224962    61451
527.4    320234    95257
527.6    290636    78498
527.8    300617    76201
528.0    324455    82404
528.2    324023    86045
528.4    319382    93841
528.6    331525    98373
528.8    356302    113262
