frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    388872    95957
471.0    409871    95327
471.2    475479    107173
471.4    434011    110998
471.6    435030    105894
471.8    438959    97973
472.0    429138    105045
472.2    391662    92588
472.4    408612    97661
472.6    381538    85869
472.8    384371    86847
473.0    358206    71656
473.2    376193    98860
473.4    330296    71024
473.6    342315    81674
473.8    393193    91815
474.0    400579    97684
474.2    425112    108498
474.4    430374    99912
474.6    469470    109170
474.8    452095    115488
475.0    437816    102906
475.2    408528    96866
475.4    459184    115250
475.6    399845    85495
475.8    474166    102220
476.0    429037    101002
476.2    422673    99808
476.4    437809    98501
476.6    468669    123289
476.8    391109    88030
