frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    197861    53077
473.5    213225    63294
473.7    200374    50680
473.9    209968    52789
474.1    214047    57030
474.3    201695    52812
474.5    157791    40801
474.7    184384    51413
474.9    167643    40936
475.1    146447    44329
475.3    169738    39935
475.5    212805    65751
475.7    203166    57638
475.9    204704    57141
476.1    203853    51348
476.3    218515    58603
476.5    207101    59587
476.7    227666    66034
476.9    219574    69432
477.1    207330    54342
477.3    229818    62349
