frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    407375    98905
471.0    419160    92588
471.2    418569    101008
471.4    450081    106501
471.6    389019    92236
471.8    422394    97938
472.0    386811    90239
472.2    395215    95966
472.4    349698    73246
472.6    344772    84742
472.8    358645    98582
473.0    371008    85087
473.2    315100    66113
473.4    308999    64872
473.6    285635    66143
473.8    316005    73882
474.0    406024    100053
474.2    376012    92497
474.4    414594    104717
474.6    371564    88998
474.8    395818    105799
475.0    421023    97019
475.2    425475    91958
475.4    455988    107432
475.6    425246    97996
475.8    428433    103869
476.0    391001    87267
476.2    397141    79530
476.4    367874    92485
476.6    387295    90872
476.8    373844    87163
