frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    319569.6666666666    84196.33333333333
471.0    304968.0    83121.0
471.2    312799.6666666667    85979.33333333334
471.4    322988.6666666667    85918.6666666667
471.6    331673.00000000006    94283.33333333336
471.8    333575.6666666666    93591.33333333333
472.0    298874.6666666666    79165.66666666667
472.2    290494.6666666667    80365.33333333333
472.4    290358.6666666667    81845.66666666667
472.6    285548.6666666667    78027.0
472.8    302696.99999999994    84246.66666666667
473.0    288893.3333333333    81737.66666666667
473.2    266941.3333333334    74400.00000000001
473.4    264279.0    66184.33333333333
473.6    257023.00000000003    66723.99999999999
473.8    268934.3333333333    66118.33333333334
474.0    220236.3333333333    59030.0
474.2    274897.0    75371.0
474.4    290585.3333333333    78575.33333333333
474.6    287502.0    77441.99999999999
474.8    310043.3333333333    81726.33333333334
475.0    301686.3333333333    87300.0
475.2    316603.0    90696.0
475.4    351009.3333333334    102866.33333333331
475.6    336094.6666666667    86266.33333333334
475.8    335235.3333333333    94078.00000000003
476.0    312308.6666666667    95058.0
476.2    324345.3333333333    87817.00000000001
476.4    307492.6666666666    80530.0
476.6    323393.3333333334    87364.66666666667
476.8    344909.99999999994    86641.6666666667
