frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    238299.6666666667    62532.66666666667
471.0    243029.66666666666    64626.33333333334
471.2    230451.66666666666    66411.66666666666
471.4    241390.00000000003    70770.66666666666
471.6    251937.6666666667    72917.00000000001
471.8    221431.00000000003    61171.666666666664
472.0    239326.33333333334    66349.33333333334
472.2    219011.66666666666    60314.00000000001
472.4    215945.0    60434.333333333336
472.6    231842.6666666667    61909.66666666667
472.8    220974.00000000003    56946.33333333332
473.0    212492.0    57514.333333333336
473.2    195070.0    48468.33333333333
473.4    190108.0    51827.333333333336
473.6    177144.3333333333    45414.333333333336
473.8    174785.0    44243.666666666664
474.0    156296.0    42388.0
474.2    202135.6666666667    56021.666666666664
474.4    238744.6666666667    66744.66666666666
474.6    245010.33333333334    73794.0
474.8    243962.99999999997    71932.33333333331
475.0    243929.3333333333    68271.33333333333
475.2    244710.33333333334    67946.33333333331
475.4    251241.99999999994    69311.66666666669
475.6    250117.0    68452.66666666667
475.8    256605.66666666672    66194.66666666666
476.0    241029.66666666666    64577.33333333334
476.2    243151.0    66853.33333333334
476.4    242300.0    71499.66666666667
476.6    237626.6666666667    64012.333333333336
476.8    249793.0    71062.33333333334
