frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    533353    142678
522.5    560361    159724
523.0    555611    164528
523.5    564391    170684
524.0    546445    165447
524.5    535363    151384
525.0    506335    142542
525.5    477049    138266
526.0    488389    136608
526.5    416083    131946
527.0    290902    75117
527.5    461780    131911
528.0    470866    129597
528.5    482946    120282
529.0    514571    142295
529.5    544596    151014
530.0    540815    148606
530.5    507261    142915
531.0    542743    165514
531.5    563813    167305
532.0    535523    144377
