frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    293578.0    76057.66666666667
471.0    324170.99999999994    88689.66666666667
471.2    291899.6666666666    82983.33333333333
471.4    328505.3333333334    87390.0
471.6    322906.33333333326    90817.00000000001
471.8    273090.3333333333    74861.66666666666
472.0    286751.0    77318.0
472.2    270386.99999999994    70277.66666666667
472.4    302390.99999999994    78646.33333333333
472.6    320795.0    88554.33333333334
472.8    266367.6666666667    69338.66666666667
473.0    255799.66666666666    71571.66666666667
473.2    270846.0    64742.0
473.4    265835.6666666667    72180.33333333334
473.6    246416.66666666666    62137.33333333334
473.8    229622.33333333328    56545.66666666668
474.0    224820.66666666672    54295.33333333333
474.2    268595.99999999994    77753.33333333333
474.4    325193.0    86503.33333333331
474.6    295099.00000000006    80324.66666666666
474.8    328788.6666666667    97287.66666666666
475.0    320581.3333333333    86952.0
475.2    278221.6666666667    75660.0
475.4    296518.6666666667    83850.66666666667
475.6    291818.3333333333    74786.66666666667
475.8    328300.00000000006    93770.33333333334
476.0    301863.6666666667    82304.66666666666
476.2    268592.00000000006    74456.0
476.4    288346.0    79956.66666666667
476.6    281043.0    76686.0
476.8    287844.3333333333    80007.0
