frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    249393    72528
473.5    212183    56887
473.7    210260    51733
473.9    210885    59546
474.1    202717    58831
474.3    197179    58837
474.5    185228    48085
474.7    185929    49340
474.9    185800    37617
475.1    135077    32367
475.3    198839    50532
475.5    205293    50027
475.7    205643    55081
475.9    212807    54899
476.1    186762    47108
476.3    248144    75016
476.5    221764    68534
476.7    216553    59691
476.9    232458    65617
477.1    229950    63699
477.3    258148    64546
