frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    384579    95804
471.0    388893    91833
471.2    411425    91808
471.4    412784    92695
471.6    387684    86630
471.8    411118    103508
472.0    402899    104134
472.2    377231    99050
472.4    367591    76795
472.6    387533    80197
472.8    337424    80421
473.0    320515    69352
473.2    335168    75471
473.4    308560    66803
473.6    286216    59067
473.8    259557    51523
474.0    378716    95174
474.2    396840    89187
474.4    387079    92760
474.6    387548    89510
474.8    380824    109818
475.0    416587    102527
475.2    375453    89209
475.4    428050    101895
475.6    384954    92687
475.8    406597    82548
476.0    399385    92115
476.2    377032    92161
476.4    380025    88870
476.6    390650    76749
476.8    375307    83459
