frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    630142    157245
522.5    673982    178196
523.0    639382    172818
523.5    691591    185305
524.0    669271    180390
524.5    687546    171522
525.0    709882    196674
525.5    757381    207757
526.0    743333    201277
526.5    767596    207031
527.0    370788    90141
527.5    733837    194886
528.0    757359    214312
528.5    708042    186492
529.0    702234    190364
529.5    672529    172986
530.0    714523    201917
530.5    706976    177998
531.0    648178    176096
531.5    676018    169546
532.0    669783    194016
