frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    206580    51083
473.5    246180    66955
473.7    189911    47224
473.9    229702    71077
474.1    206690    53975
474.3    204876    55914
474.5    218382    58609
474.7    185281    49051
474.9    190052    45563
475.1    164662    40586
475.3    215343    56627
475.5    202100    46786
475.7    207658    67780
475.9    230636    58653
476.1    222133    63069
476.3    203390    51222
476.5    194925    65540
476.7    214840    70835
476.9    209779    55416
477.1    204895    63319
477.3    209368    59409
