Data from wl_500_HR2001601__0__00000.txt Node

Date: Wed Oct 18 18:56:42 CEST 2023
User: isaza
Spectrometer: HR200160
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2110
>>>>>Begin Spectral Data<<<<<
184.037	112.58
184.393	56.58
184.749	-58.42
185.104	-45.42
185.46	86.58
185.815	-28.42
186.17	84.58
186.526	8.58
186.881	-44.42
187.237	-76.42
187.592	-102.42
187.947	6.58
188.303	-146.42
188.658	-25.42
189.013	81.58
189.369	-48.42
189.724	-116.42
190.079	25.58
190.435	-48.42
190.79	-140.42
191.145	-166.42
191.5	-129.42
191.855	-62.42
192.21	-121.42
192.566	-76.42
192.921	-24.42
193.276	-134.42
193.631	420.58
193.986	-53.42
194.341	-143.42
194.696	-76.42
195.051	-56.42
195.406	-124.42
195.761	308.58
196.116	-62.42
196.471	-82.42
196.826	22.58
197.181	-74.42
197.535	-191.42
197.89	-98.42
198.245	-122.42
198.6	-63.42
198.955	-70.42
199.31	-114.42
199.664	-106.42
200.019	-135.42
200.374	-93.42
200.729	-193.42
201.083	-154.42
201.438	-75.42
201.793	-294.42
202.147	-55.42
202.502	-123.42
202.856	-47.42
203.211	-199.42
203.566	-94.42
203.92	-109.42
204.275	-91.42
204.629	-176.42
204.984	-50.42
205.338	407.58
205.693	-128.42
206.047	-140.42
206.401	-155.42
206.756	-145.42
207.11	-211.42
207.465	-190.42
207.819	67.58
208.173	-124.42
208.528	-203.42
208.882	-205.42
209.236	-53.42
209.591	-186.42
209.945	-133.42
210.299	-19.42
210.653	-123.42
211.007	-97.42
211.362	-170.42
211.716	-82.42
212.07	-153.42
212.424	-160.42
212.778	-215.42
213.132	-154.42
213.486	-147.42
213.84	-213.42
214.194	-150.42
214.548	-151.42
214.902	370.58
215.256	-278.42
215.61	-246.42
215.964	-247.42
216.318	-246.42
216.672	-142.42
217.026	-225.42
217.38	-61.42
217.734	-58.42
218.087	-249.42
218.441	-78.42
218.795	1.58
219.149	-123.42
219.503	-199.42
219.856	-177.42
220.21	-153.42
220.564	-207.42
220.917	-107.42
221.271	-177.42
221.625	-77.42
221.978	-188.42
222.332	-99.42
222.685	-150.42
223.039	286.58
223.393	-145.42
223.746	-255.42
224.1	-194.42
224.453	-274.42
224.807	-217.42
225.16	-175.42
225.514	235.58
225.867	-159.42
226.22	19.58
226.574	-111.42
226.927	-105.42
227.281	350.58
227.634	-214.42
227.987	-147.42
228.341	-164.42
228.694	-155.42
229.047	-226.42
229.4	-225.42
229.754	-283.42
230.107	-130.42
230.46	-247.42
230.813	287.58
231.166	-78.42
231.519	-110.42
231.873	-90.42
232.226	-137.42
232.579	-223.42
232.932	-220.42
233.285	-254.42
233.638	-256.42
233.991	-42.42
234.344	-179.42
234.697	-277.42
235.05	-212.42
235.403	-183.42
235.756	-199.42
236.109	-171.42
236.461	-96.42
236.814	-222.42
237.167	-164.42
237.52	152.58
237.873	-231.42
238.226	-197.42
238.578	-154.42
238.931	-193.42
239.284	-211.42
239.637	-152.42
239.989	-255.42
240.342	-189.42
240.695	-241.42
241.047	-279.42
241.4	-99.42
241.752	-32.42
242.105	-270.42
242.458	-153.42
242.81	-255.42
243.163	-208.42
243.515	-178.42
243.868	-160.42
244.22	-211.42
244.573	-242.42
244.925	-150.42
245.278	-122.42
245.63	-250.42
245.982	-162.42
246.335	-215.42
246.687	-156.42
247.039	-145.42
247.392	-128.42
247.744	-145.42
248.096	-230.42
248.449	-229.42
248.801	-106.42
249.153	-46.42
249.505	-197.42
249.857	-154.42
250.21	59.58
250.562	-217.42
250.914	-158.42
251.266	-326.42
251.618	-195.42
251.97	-287.42
252.322	-228.42
252.674	-263.42
253.026	-205.42
253.378	-221.42
253.73	-154.42
254.082	-56.42
254.434	-212.42
254.786	-254.42
255.138	-193.42
255.49	-155.42
255.842	-203.42
256.194	-160.42
256.546	-235.42
256.897	-255.42
257.249	-224.42
257.601	-240.42
257.953	-165.42
258.305	-131.42
258.656	-124.42
259.008	-271.42
259.36	-123.42
259.711	-198.42
260.063	-182.42
260.415	93.58
260.766	-184.42
261.118	-197.42
261.469	-249.42
261.821	-125.42
262.173	-272.42
262.524	-317.42
262.876	48.58
263.227	-216.42
263.579	-84.42
263.93	-226.42
264.282	-203.42
264.633	-233.42
264.984	-230.42
265.336	-195.42
265.687	-31.42
266.038	-182.42
266.39	-204.42
266.741	-246.42
267.092	-308.42
267.444	-266.42
267.795	-215.42
268.146	-258.42
268.497	-209.42
268.849	-183.42
269.2	-48.42
269.551	-163.42
269.902	-266.42
270.253	-216.42
270.604	-192.42
270.955	-186.42
271.306	-120.42
271.658	-193.42
272.009	-147.42
272.36	-130.42
272.711	-264.42
273.062	-241.42
273.413	-167.42
273.763	-100.42
274.114	-195.42
274.465	-150.42
274.816	-248.42
275.167	-186.42
275.518	-262.42
275.869	-112.42
276.22	-92.42
276.57	-147.42
276.921	-113.42
277.272	-234.42
277.623	743.58
277.973	-120.42
278.324	-188.42
278.675	-81.42
279.025	-310.42
279.376	-154.42
279.727	-216.42
280.077	-170.42
280.428	-249.42
280.778	-165.42
281.129	-215.42
281.48	-290.42
281.83	-180.42
282.181	-242.42
282.531	-207.42
282.882	-259.42
283.232	-125.42
283.582	-110.42
283.933	-184.42
284.283	-299.42
284.634	-175.42
284.984	-211.42
285.334	-289.42
285.685	352.58
286.035	-170.42
286.385	-302.42
286.735	-140.42
