frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    551089    146066
522.5    575077    162168
523.0    513401    135070
523.5    554789    146792
524.0    559983    148056
524.5    556654    142523
525.0    575903    152250
525.5    625990    164469
526.0    586935    144051
526.5    328775    84760
527.0    549978    153238
527.5    586226    149482
528.0    575673    154638
528.5    600362    165331
529.0    561407    162401
529.5    582771    150336
530.0    549238    144534
530.5    557502    150771
531.0    549371    143773
531.5    545769    155710
532.0    589592    152563
532.5    549258    141247
533.0    546646    145197
533.5    576839    156822
534.0    520378    140754
534.5    558590    155007
535.0    534695    133720
535.5    530697    140927
536.0    528215    142722
536.5    531401    148102
537.0    560498    143860
537.5    543650    146568
538.0    533826    134461
538.5    511695    142359
539.0    536410    141933
539.5    513871    136243
540.0    524641    138487
540.5    537844    136983
541.0    541467    134594
541.5    544650    153553
542.0    556088    146933
