frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    351959    91471
471.0    320787    92386
471.2    330846    94209
471.4    316359    98051
471.6    314726    86141
471.8    343443    105272
472.0    291580    84826
472.2    328051    106697
472.4    294519    85648
472.6    297651    87618
472.8    259895    67899
473.0    244454    73436
473.2    226935    63867
473.4    243037    63662
473.6    201983    51092
473.8    200747    55849
474.0    285091    79117
474.2    278352    66983
474.4    298953    90042
474.6    295458    92819
474.8    343606    90626
475.0    325820    95310
475.2    322560    90178
475.4    332323    101362
475.6    313546    81603
475.8    331832    94569
476.0    323510    94899
476.2    331461    94127
476.4    320345    89966
476.6    327694    94043
476.8    309028    84551
