frequency [kHz]    total counts in region of interest    max_val_x_line_sum
521    583669    145826
521.5    545655    135177
522.0    537335    142945
522.5    561583    156516
523.0    501239    143691
523.5    546520    148167
524.0    552721    167540
524.5    567577    148180
525.0    595080    161069
525.5    576472    160354
526.0    552614    145288
526.5    297933    69231
527.0    540756    141306
527.5    541459    159342
528.0    584057    146189
528.5    544139    138282
529.0    538846    141873
529.5    558411    152695
530.0    560530    143932
530.5    541125    144465
531.0    557980    143886
