frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    698238    185073
522.5    714589    192815
523.0    748927    194548
523.5    706441    190193
524.0    727402    190098
524.5    759686    209970
525.0    699788    188595
525.5    726641    192339
526.0    722977    186877
526.5    761031    197621
527.0    506027    139012
527.5    733260    199193
528.0    629845    171802
528.5    709202    197352
529.0    743061    208281
529.5    589719    148777
530.0    639246    160855
530.5    624487    175412
531.0    637861    173682
531.5    688454    186262
532.0    672090    177042
