frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    194583    72832
473.5    162650    56500
473.7    141382    52978
473.9    148393    47119
474.1    133801    39985
474.3    153252    59034
474.5    141406    45199
474.7    108979    40090
474.9    80353    26053
475.1    144833    41081
475.3    135924    42529
475.5    140456    44503
475.7    146958    53438
475.9    136826    38940
476.1    139745    39283
476.3    160886    51687
476.5    168603    57533
476.7    181095    58628
476.9    172267    54233
477.1    193743    64160
477.3    125424    40067
