frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    678529    183286
522.5    741083    193391
523.0    705854    199846
523.5    698001    199770
524.0    698185    198170
524.5    735894    215253
525.0    750289    204217
525.5    733397    194124
526.0    731596    201624
526.5    701536    186973
527.0    619864    167007
527.5    766093    193942
528.0    764035    216146
528.5    778996    204751
529.0    738289    193845
529.5    727677    194384
530.0    705614    192814
530.5    673752    188981
531.0    697503    189942
531.5    724093    190778
532.0    733075    202720
